Survey Name,Question,Type,Official Answers
Survey 2,"As you read each question, think about how you see yourself as you honestly see yourself in relation to other people you know of the same sex as you are and roughly your same age. Please choose the answer that best describes yourself as you generally are now, not as you wish to be in the future. If you have any questions, please ask the Researcher at any time. You may click “begin” whenever you are ready
",Intro,
Order,I am the life of the party,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
2,I feel little concern for others,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
Adaptivity level,I am always prepared,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
2,I get stressed out easily,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
Last Edited By,I have a rich vocabulary,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
Falisha Kanji,I don't talk a lot,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
Last Edited,I am interested in people,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
01/31/18,I leave my belongings around,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am relaxed most of the time,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I have difficulty understanding abstract ideas,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
 ,I feel comfortable around people,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I insult people,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I pay attention to details,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I worry about things.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I have a vivid imagination.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I keep in the background.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I sympathize with others' feelings.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I make a mess of things.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I seldom feel blue.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
,I am not interested in abstract ideas.,Scalar,Very Inaccurate|Moderately Inaccurate|Neither Accurate Nor Inaccurate|Moderately Accurate|Very Accurate
