Survey Name,Question,Type,Official Answers
Survey 3,"Please read each statement carefully and choose the answer that most accurately describes your feelings. If you have any questions, please ask the Researcher at any time. You may click ""begin"" whenever you are ready.",Intro,
Order,I usually trust machines until there is a reason not to.,Scalar,Strongly Disagree|Disagree|Neither agree nor disagree|Agree|Strongly Agree
3,"For the most part, I distrust machines.",Scalar,Strongly Disagree|Disagree|Neither agree nor disagree|Agree|Strongly Agree
Adaptivity level,"In general, I would rely on a machine to assist me.",Scalar,Strongly Disagree|Disagree|Neither agree nor disagree|Agree|Strongly Agree
2,My tendency to trust machines is high.,Scalar,Strongly Disagree|Disagree|Neither agree nor disagree|Agree|Strongly Agree
Last Edited By,It is easy for me to trust machines to do their job.,Scalar,Strongly Disagree|Disagree|Neither agree nor disagree|Agree|Strongly Agree
Falisha Kanji,I am likely to trust a machine even when I have little knowledge about it.,Scalar,Strongly Disagree|Disagree|Neither agree nor disagree|Agree|Strongly Agree
Last Edited,Thank you for participating! Please click continue.,Outro,
02/20/18,,,
,,,
 ,,,
